POSTCODE,AUDIENCE_COUNT,Tier
2026,29341,High
3121,23994,High
2031,22049,High
2065,18531,High
3056,17696,High
2040,16734,High
2042,16163,High
2034,15914,High
3068,14845,High
4069,14205,High
3070,12336,High
2095,11506,High
2088,11408,High
2089,11241,High
3181,11073,High
2041,10699,High
3031,10691,High
2021,10667,High
2090,10084,High
2037,9924,High
3207,9736,High
2060,9684,High
2010,9210,High
3141,8364,High
4152,8245,High
2016,8156,High
6014,8052,High
2039,7889,High
3065,7804,High
2038,7513,High
2049,7405,High
3054,7273,High
3057,7121,High
2015,7040,High
4060,7033,High
2066,6890,High
4051,6708,High
2046,6637,High
6153,6528,High
3182,6273,High
2048,6262,High
2047,6218,High
3051,6187,High
2000,6046,High
2024,6006,High
6018,5931,High
4065,5902,High
3184,5896,High
4109,5767,High
3122,5745,High
6010,5735,High
4171,5651,High
2022,5547,High
2602,5508,High
3067,5489,High
3205,5483,High
2096,5428,High
2605,5359,High
4068,5163,High
6020,5082,High
2062,5078,High
2023,5074,High
2029,4902,High
6050,4877,High
3183,4874,High
6008,4856,High
6009,4819,High
2043,4741,High
2600,4614,High
4075,4594,High
2009,4561,High
3053,4546,High
2204,4420,High
4170,4385,High
5066,4372,High
4212,4303,High
4217,4269,High
4218,4194,High
2614,4126,High
2603,4000,High
3066,3997,High
3150,3980,High
4011,3979,High
6151,3896,High
2027,3882,High
4121,3864,High
3032,3777,High
2607,3771,High
2612,3734,High
4556,3640,High
2050,3594,High
2025,3565,High
2028,3539,High
2260,3526,High
3055,3519,High
3206,3517,High
3071,3492,High
6025,3462,High
6019,3417,High
4116,3380,High
2044,3328,High
5064,3261,High
5062,3250,High
4151,3243,High
4226,3205,High
2093,3114,High
6152,3092,High
4030,3013,High
2061,2904,High
2094,2861,High
2611,2859,High
2251,2858,High
4066,2844,High
4213,2841,High
3052,2829,High
4122,2824,High
2030,2792,High
4074,2779,High
4214,2772,High
2035,2758,High
4061,2741,High
2017,2711,High
6148,2697,High
2250,2635,High
4035,2634,High
6156,2616,High
4113,2590,High
2155,2585,High
4216,2570,High
4211,2562,High
2137,2453,High
3930,2443,High
6012,2386,High
2913,2373,High
2008,2363,High
2234,2362,High
3101,2361,High
6158,2329,High
3003,2273,High
4064,2234,High
5065,2217,High
4160,2164,High
5061,2155,High
4165,2139,High
2033,2133,High
3123,2127,High
2068,2108,High
4067,2104,High
6015,2088,High
2099,2067,High
6011,2061,High
3934,2047,High
4551,2028,High
2604,2025,High
4034,2000,High
2153,1998,High
3013,1986,High
4163,1962,High
4350,1917,High
4053,1906,High
3078,1891,High
6021,1861,High
2156,1850,High
4220,1820,High
4164,1807,High
4221,1794,High
820,1780,High
3142,1737,High
3152,1720,High
4005,1719,High
4031,1701,High
6027,1670,High
6016,1663,High
2570,1647,High
4575,1645,High
3011,1624,High
4520,1612,High
3095,1608,High
2261,1583,High
3079,1583,High
2617,1575,High
3193,1564,High
3149,1557,High
5069,1554,High
6157,1553,High
2619,1544,High
2113,1529,High
6150,1512,High
4020,1501,High
2130,1496,High
3002,1475,High
3199,1455,High
2011,1453,High
4179,1439,High
3109,1427,High
3186,1423,High
2107,1422,High
5068,1414,High
2291,1402,High
4012,1400,High
6007,1389,High
3146,1384,High
6029,1384,High
5081,1380,High
4573,1360,High
6154,1357,High
2576,1346,High
4227,1339,High
2036,1329,High
2145,1313,High
2170,1308,High
2111,1294,High
4104,1284,High
3806,1282,High
4154,1258,High
2097,1251,High
2257,1250,High
4070,1248,High
4017,1244,High
4178,1238,High
2220,1228,High
2756,1198,High
4159,1194,High
3016,1193,High
5072,1192,High
2745,1183,High
5063,1183,High
3178,1173,High
2560,1168,High
2290,1164,High
3106,1161,High
2203,1159,High
4007,1146,High
4209,1133,High
3143,1130,High
4210,1121,High
2902,1121,High
3156,1114,High
3133,1112,High
2233,1110,High
4870,1097,High
3804,1079,High
2018,1077,High
2567,1073,High
6163,1070,High
3124,1069,High
2280,1067,High
3216,1062,High
2154,1058,High
2101,1055,High
2232,1051,High
4073,1048,High
3136,1042,High
2282,1042,High
6030,1040,High
6028,1037,High
4223,1034,High
2176,1025,High
4055,1023,High
3134,1023,High
2210,1019,High
4500,1015,High
810,1007,High
6149,1007,High
4215,1003,High
6076,996,Med
6023,989,Med
2213,985,Med
2529,981,Med
4128,973,Med
2487,966,Med
3220,949,Med
4112,948,Med
4059,946,Med
2904,945,Med
4123,941,Med
6059,938,Med
4567,932,Med
6155,929,Med
3084,922,Med
5152,922,Med
3195,905,Med
2533,904,Med
4130,898,Med
2620,893,Med
4127,892,Med
2515,880,Med
2305,878,Med
6004,877,Med
2750,876,Med
7005,870,Med
2444,869,Med
4228,869,Med
2606,867,Med
3145,864,Med
2229,862,Med
3185,851,Med
3108,847,Med
2077,844,Med
4105,843,Med
2112,832,Med
2100,832,Med
2147,826,Med
2478,824,Med
3161,815,Med
2259,814,Med
2519,813,Med
2158,804,Med
2159,800,Med
4115,778,Med
2122,776,Med
4157,769,Med
3191,764,Med
3059,746,Med
2481,738,Med
4557,722,Med
2500,718,Med
4101,715,Med
2525,714,Med
2207,711,Med
2171,709,Med
4153,706,Med
2615,705,Med
5159,700,Med
3147,695,Med
5070,690,Med
2777,689,Med
6052,682,Med
3058,682,Med
3041,678,Med
5082,676,Med
2486,676,Med
4562,674,Med
3130,673,Med
5022,668,Med
6100,665,Med
3127,663,Med
2118,661,Med
2450,659,Med
5041,658,Med
3228,656,Med
2200,655,Med
4207,655,Med
3931,655,Med
3197,654,Med
3030,650,Med
3083,647,Med
2565,646,Med
3188,643,Med
4306,640,Med
4169,635,Med
2224,629,Med
3113,629,Med
4503,624,Med
3173,623,Med
2774,622,Med
2019,622,Med
3187,619,Med
3805,619,Med
3004,614,Med
5034,614,Med
3111,614,Med
6006,612,Med
4078,601,Med
3170,599,Med
3038,593,Med
4155,593,Med
4564,591,Med
5067,589,Med
3162,585,Med
4103,585,Med
2230,584,Med
2190,582,Med
3088,579,Med
3039,577,Med
2526,577,Med
3350,577,Med
2110,574,Med
3802,574,Med
3107,573,Med
4156,572,Med
4118,568,Med
2227,567,Med
4037,566,Med
2063,558,Med
2120,555,Med
2067,551,Med
2289,549,Med
3977,545,Med
2765,542,Med
2117,542,Med
6051,540,Med
3040,535,Med
2151,528,Med
3144,525,Med
2141,521,Med
2517,520,Med
5051,517,Med
3172,516,Med
2281,516,Med
2758,509,Med
4208,508,Med
3126,506,Med
5052,505,Med
2221,505,Med
4560,493,Med
2300,493,Med
3165,493,Med
3115,492,Med
2157,492,Med
2228,484,Med
2287,483,Med
2571,480,Med
5032,479,Med
3102,479,Med
2905,478,Med
3138,476,Med
2906,476,Med
4509,475,Med
2303,472,Med
5073,471,Med
2283,469,Med
4566,469,Med
5154,467,Med
4120,462,Med
2518,461,Med
2753,460,Med
4505,458,Med
4300,454,Med
2211,454,Med
2106,450,Med
6210,448,Med
3135,445,Med
2064,445,Med
2226,445,Med
4558,441,Med
2160,438,Med
7007,433,Med
3037,433,Med
4124,430,Med
2516,429,Med
6164,425,Med
4810,419,Med
3089,416,Med
2206,415,Med
7250,415,Med
2773,413,Med
812,412,Med
3429,411,Med
2320,410,Med
6026,409,Med
3034,408,Med
2223,408,Med
2212,404,Med
3105,404,Med
5024,404,Med
5158,403,Med
2216,397,Med
2006,396,Med
2196,396,Med
2209,392,Med
2148,391,Med
2217,389,Med
4032,389,Med
2256,384,Med
2085,384,Med
7052,381,Med
2219,379,Med
7018,378,Med
3204,376,Med
4014,374,Med
5044,373,Med
3116,371,Med
2749,369,Med
2508,364,Med
3140,363,Med
3036,363,Med
2166,360,Med
6065,359,Med
3073,359,Med
2007,358,Med
3175,358,Med
4879,357,Med
6166,357,Med
6056,354,Med
5125,353,Med
2103,352,Med
4172,352,Med
5049,349,Med
3194,348,Med
4740,347,Med
3910,343,Med
3196,342,Med
2076,342,Med
2079,342,Med
2759,340,Med
2530,335,Med
2575,334,Med
5021,332,Med
2285,330,Med
2114,329,Med
2557,328,Med
2903,327,Med
3437,326,Med
4019,325,Med
4507,325,Med
3008,323,Med
3226,321,Med
2178,321,Med
4506,321,Med
6159,319,Med
5095,315,Med
5076,310,Med
3114,308,Med
2138,306,Med
2263,305,Med
3765,305,Med
3129,304,Med
4510,302,Med
4572,301,Med
5150,300,Med
3166,297,Med
7050,296,Med
2763,296,Med
3010,293,Med
2748,292,Med
2208,292,Med
5045,292,Med
4119,291,Med
2045,290,Med
6055,290,Med
4013,289,Med
2104,288,Med
4565,288,Med
5048,283,Med
3912,283,Med
3023,282,Med
2618,281,Med
4559,280,Med
3128,278,Med
4054,278,Med
2092,275,Med
4161,274,Med
2081,273,Med
3192,273,Med
3125,273,Med
3131,272,Med
3033,272,Med
2284,271,Med
3820,271,Med
2258,270,Med
6057,270,Med
3132,270,Med
4504,269,Med
4006,267,Med
2115,265,Med
2650,265,Med
6069,264,Med
6112,261,Med
2165,261,Med
2768,256,Med
3104,254,Med
6111,251,Med
3807,251,Med
2198,251,Med
4814,250,Med
3936,248,Med
3082,248,Med
2173,247,Med
4561,246,Med
3097,245,Med
3782,245,Med
2074,245,Med
2146,245,Med
2218,243,Med
7170,242,Med
3046,241,Med
2133,240,Med
2914,239,Med
2222,238,Med
6162,238,Med
2164,236,Med
2179,234,Med
3090,233,Med
3158,233,Med
2225,231,Med
2084,230,Med
2795,229,Med
2152,227,Med
2205,226,Med
3029,226,Med
6000,226,Med
3094,224,Med
2577,224,Med
4108,224,Med
2534,220,Med
2086,219,Med
4224,218,Med
5050,218,Med
3169,216,Med
3018,216,Med
5096,215,Med
6054,214,Med
4553,214,Med
6070,213,Med
7053,213,Med
4272,212,Med
2483,212,Med
2194,212,Med
3754,211,Med
3160,210,Med
2161,210,Med
4125,209,Med
3939,206,Med
6062,206,Med
4655,205,Med
5089,205,Med
3155,205,Med
2528,205,Med
4352,203,Med
4173,202,Med
3044,202,Med
2752,202,Med
3151,199,Med
4555,199,Med
2197,199,Med
4107,198,Med
3179,197,Med
2527,197,Med
6104,196,Med
3085,195,Med
2747,194,Med
3050,192,Med
2102,192,Med
2172,191,Med
2199,190,Med
3006,190,Med
5042,190,Med
2621,188,Med
3137,187,Med
3091,186,Med
2214,185,Med
2032,185,Med
2264,184,Med
3167,183,Med
6160,182,Med
4563,181,Med
4158,180,Med
6060,180,Med
2075,179,Med
2144,178,Med
2191,177,Med
3752,177,Med
2556,176,Med
2640,175,Med
2566,175,Med
2082,174,Med
4700,174,Med
2175,173,Med
3093,172,Med
