POA_CODE_2021,Tot_P_P
3029,129888
3030,119201
3977,117143
4350,115218
2170,114479
3064,114413
2145,87531
4740,85500
4670,84718
2560,82543
2155,75699
6210,75034
4209,74284
4870,73803
2250,71168
6112,70564
4300,68675
4207,68477
6065,68443
4551,68286
2148,67483
3023,67146
4655,66789
2259,66236
6164,66124
3350,66022
4305,64356
2570,63663
3150,63298
2153,62610
4211,62508
2650,61511
2770,61494
3216,60123
3805,58600
3199,56127
4510,55940
3810,55588
4215,55425
4680,55339
2261,55129
3021,55112
6163,54704
2747,54397
2166,54184
6155,53765
3175,53545
4503,52483
2340,52436
9494,52069
3037,51402
3806,51308
7250,51133
2444,51117
3073,51096
3754,50494
2176,50022
2750,49204
6107,48583
2800,48283
2540,48267
2200,48003
4053,47604
4152,47570
2615,47356
2450,47335
4556,47150
4122,47147
4034,46741
4570,46427
6069,46350
3136,46296
4814,46193
2480,45938
4500,45656
2765,45613
2620,45604
4217,45197
2795,45077
2165,45046
2168,45023
6230,44972
2830,44963
6110,44873
3020,44372
4306,43997
4701,43828
2500,43472
5108,43329
3978,43202
3000,43084
2099,42917
6027,42828
2077,42819
6018,42250
3550,41839
6061,41683
6056,41172
2567,40951
2154,40874
2287,40845
6030,40841
3337,40724
2640,39879
4216,39714
3174,39693
4165,39491
2913,39396
2160,39388
2144,39333
2320,39163
3429,39093
2171,38882
4214,38871
3156,38484
2617,38073
6330,38042
2112,38026
4509,37952
4017,37756
4109,37703
6171,37697
2760,37632
3195,37364
2147,37285
4226,37266
3338,37062
5114,36847
2430,36841
3046,36772
4560,36706
2611,36535
4301,36527
4077,35805
3551,35614
4069,35527
4218,35371
3149,35340
5162,35328
2756,35328
6169,35317
2232,35304
2150,35254
4101,35246
3690,35051
2530,35038
4650,34942
3152,34940
2290,34912
3058,34906
2761,34702
3134,34607
2035,34602
2914,34576
3500,34565
2602,34540
2161,34379
810,34330
2121,34209
6062,34144
3024,34004
2285,33869
2066,33844
2031,33830
3072,33790
2036,33767
2220,33761
2196,33743
2251,33721
5159,33635
3178,33571
3076,33489
4212,33470
6530,33378
3280,33298
2210,33262
2763,33197
3204,33130
3130,33044
2486,32838
3163,32810
2026,32693
4220,32574
2141,32425
6055,32320
3630,32151
2478,32053
4818,32004
2745,31847
2065,31698
2580,31629
2565,31588
6025,31581
3121,31534
3083,31529
4118,31493
4573,31392
2122,31187
3844,31179
4213,31153
2460,31079
2325,31073
6064,31068
4352,31026
2229,30943
3109,30926
4817,30785
2230,30690
2234,30648
6280,30585
2257,30403
3165,30159
3173,30018
2233,29960
3032,29874
4702,29819
4114,29702
4051,29574
4113,29524
2529,29134
2017,29003
4221,28889
2768,28864
2905,28731
3082,28712
3044,28701
2217,28673
7310,28635
6167,28476
2207,28382
3095,28373
2088,28329
3028,28191
